playerName,playerBorn,playerDraft,playerPos,playerBattingSide,playerThrowSide
송성문,1996-08-29,15 넥센 2차 5라운드 49순위,5,False,True
김혜성,1999-01-27,17 넥센 2차 1라운드 7순위,4,False,True
이주형,2001-04-02,20 LG 2차 2라운드 13순위,8,False,True
최주환,1988-02-28,06 두산 2차 6라운드 46순위,5,False,True
김건희,2004-11-07,23 키움 1라운드 6순위,2,True,True
변상권,1997-04-04,18 넥센 육성선수,8,False,True
김태진,1995-10-07,14 NC 2차 4라운드 45순위,8,False,True
도슨,1995-05-19,23 키움 자유선발,8,False,True
이용규,1985-08-26,04 LG 2차 2라운드 15순위,7,False,False
후라도,1996-01-30,23 키움 자유선발,1,True,True
헤이수스,1996-12-10,24 키움 자유선발,1,False,False
하영민,1995-05-07,14 넥센 2차 1라운드 4순위,1,True,True
주승우,2000-01-30,22 키움 1차,1,True,True
