타율,타율_1,타율_2,타율_3,타율_4,타율_5,타율_6,타율_7,타율_8,타율_9,타율_10,타율_11,타율_12,타율_13,타율_14,타율_15,타율_16,타율_17,타율_18,타율_19,타율_20,타율_21,타율_22,타율_23,타율_24,타율_25
전체,,0.167,0.143,0.0,,0.333,0.429,0.286,0.143,0.2,0.0,0.533,0.318,0.059,0.667,0.0,0.333,0.367,0.333,0.0,0.0,0.111,0.182,0.077,0.0
커브,,,,0.0,,,,1.0,,,,,0.5,0.0,1.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
슬라이더,,0.0,,,,0.0,,,0.0,,,0.0,0.4,0.5,1.0,,0.5,0.4,0.4,0.0,0.0,0.0,0.0,0.25,0.0
체인지업,,,0.0,,,,,,0.5,0.0,,,,0.0,0.333,,,1.0,0.333,0.0,,0.0,0.0,0.0,
포크볼,,,0.0,,,,0.0,,0.0,1.0,,,0.25,0.0,1.0,,1.0,0.75,0.667,0.0,,0.0,0.333,0.0,0.0
우투,,0.5,0.143,0.0,,0.5,0.25,0.333,0.2,0.25,0.0,0.5,0.111,0.0,0.6,0.0,0.0,0.391,0.3,0.0,0.0,0.111,0.25,0.0,0.0
좌투,,0.0,,,,0.0,0.667,0.0,0.0,,,0.75,0.5,0.25,1.0,,1.0,0.286,0.5,0.0,,,0.0,0.125,0.0
결정구,,0.333,0.0,0.0,,0.5,0.2,0.0,0.0,0.333,,0.556,0.2,0.0,0.6,0.0,0.5,0.462,0.2,0.0,0.0,0.0,0.0,0.1,0.0
카운트,,0.125,0.167,0.0,,0.25,0.3,0.222,0.167,0.111,0.0,0.667,0.354,0.062,0.666,0.0,0.188,0.447,0.438,0.0,0.0,0.111,0.222,0.056,0.0
패스트볼,,0.2,0.2,0.0,,0.5,0.3,0.167,0.0,0.0,0.0,0.533,0.125,0.0,,0.0,0.1,0.355,0.125,0.0,,0.5,0.5,0.0,
