날짜,홈 팀,홈 점수,원정 팀,원정 점수
2024-04-02,삼성,3,키움,8
2024-04-03,삼성,0,키움,0
2024-04-04,삼성,1,키움,10
2024-04-05,키움,11,한화,7
2024-04-06,키움,7,한화,6
2024-04-07,키움,4,한화,3
2024-04-09,SSG,8,키움,5
2024-04-10,SSG,8,키움,4
2024-04-11,SSG,2,키움,5
2024-04-12,키움,9,롯데,4
2024-04-13,키움,8,롯데,1
2024-04-14,키움,7,롯데,5
2024-04-16,키움,6,KT,3
2024-04-17,키움,4,KT,6
2024-04-18,키움,0,KT,3
2024-04-19,두산,19,키움,8
2024-04-20,두산,0,키움,0
2024-04-21,두산,4,키움,8
2024-04-21,두산,2,키움,1
2024-04-23,키움,2,KIA,5
2024-04-24,키움,4,KIA,6
2024-04-25,키움,2,KIA,13
2024-04-26,키움,0,삼성,3
2024-04-27,키움,0,삼성,11
2024-04-28,키움,6,삼성,11
2024-04-30,롯데,7,키움,9
