,피안타율,피안타율_1,피안타율_2,피안타율_3,피안타율_4,피안타율_5,피안타율_6,피안타율_7,피안타율_8,피안타율_9,피안타율_10,피안타율_11,피안타율_12,피안타율_13,피안타율_14,피안타율_15,피안타율_16,피안타율_17,피안타율_18,피안타율_19,피안타율_20,피안타율_21,피안타율_22,피안타율_23,피안타율_24,피안타율_25
0,타율 - 전체,0.0,0.3,0.111,0.111,0.5,0.0,0.303,0.385,0.258,0.2,0.167,0.339,0.387,0.356,0.182,0.19,0.262,0.256,0.259,0.267,0.094,0.139,0.132,0.0,0.286
4,타율 - 커브,,,,0.0,,0.0,0.0,0.4,,,0.0,0.2,0.4,0.25,,0.0,0.375,0.0,0.4,,0.0,0.2,1.0,0.0,0.0
5,타율 - 슬라이더,,0.0,0.0,,,0.0,0.5,0.167,1.0,,0.25,0.231,0.455,0.333,0.0,0.2,0.158,0.364,0.25,1.0,0.125,0.0,0.4,0.0,
6,타율 - 체인지업,,,0.0,1.0,,,0.0,0.5,,,0.5,0.571,0.0,0.375,0.5,0.0,0.167,0.19,0.45,0.125,0.0,0.063,0.0,0.0,0.333
7,타율 - 우타,,0.333,0.25,0.0,0.0,0.0,0.273,0.48,0.263,0.25,0.214,0.344,0.323,0.471,0.0,0.154,0.231,0.289,0.176,0.0,0.107,0.13,0.118,0.0,0.0
8,타율 - 좌타,0.0,0.25,0.0,0.25,1.0,0.0,0.3,0.292,0.2,0.0,0.1,0.318,0.519,0.318,0.25,0.25,0.286,0.231,0.273,0.364,0.0,0.154,0.143,0.0,0.333
9,타율 - 결정구,0.0,0.25,0.143,0.0,0.5,0.0,0.222,0.316,0.227,0.0,0.154,0.4,0.471,0.389,0.25,0.091,0.226,0.231,0.269,0.25,0.0,0.097,0.103,0.0,0.286
10,타율 - 카운트,0.0,0.31,0.067,0.062,0.5,0.0,0.449,0.327,0.241,0.233,0.161,0.311,0.334,0.272,0.208,0.166,0.217,0.192,0.267,0.174,0.239,0.326,0.07,0.0,0.133
11,타율 - 패스트볼,0.0,0.214,0.084,0.0,0.5,0.0,0.523,0.28,0.42,0.166,0.114,0.332,0.283,0.389,0.067,0.444,0.393,0.361,0.087,0.25,0.5,0.2,0.225,0.0,
